title,ranks,link
蝙蝠侠：黑暗骑士崛起,8.9,https://movie.douban.com/subject/3395373/
甜蜜蜜,8.9,https://movie.douban.com/subject/1305164/
爱在黎明破晓前,8.8,https://movie.douban.com/subject/1296339/
第六感,8.9,https://movie.douban.com/subject/1297630/
超能陆战队,8.8,https://movie.douban.com/subject/11026735/
请以你的名字呼唤我,8.8,https://movie.douban.com/subject/26799731/
入殓师,8.9,https://movie.douban.com/subject/2149806/
重庆森林,8.8,https://movie.douban.com/subject/1291999/
断背山,8.8,https://movie.douban.com/subject/1418834/
剪刀手爱德华,8.7,https://movie.douban.com/subject/1292370/
幽灵公主,8.9,https://movie.douban.com/subject/1297359/
寄生虫,8.8,https://movie.douban.com/subject/27010768/
爱在日落黄昏时,8.9,https://movie.douban.com/subject/1291990/
勇敢的心,8.9,https://movie.douban.com/subject/1294639/
菊次郎的夏天,8.9,https://movie.douban.com/subject/1293359/
借东西的小人阿莉埃蒂,8.9,https://movie.douban.com/subject/4202302/
未麻的部屋,9.1,https://movie.douban.com/subject/1395091/
消失的爱人,8.7,https://movie.douban.com/subject/21318488/
无人知晓,9.1,https://movie.douban.com/subject/1292337/
时空恋旅人,8.8,https://movie.douban.com/subject/10577869/
阳光灿烂的日子,8.8,https://movie.douban.com/subject/1291875/
完美的世界,9.1,https://movie.douban.com/subject/1300992/
倩女幽魂,8.8,https://movie.douban.com/subject/1297447/
天使爱美丽,8.7,https://movie.douban.com/subject/1292215/
小森林 夏秋篇,9.0,https://movie.douban.com/subject/25814705/
哈利·波特与火焰杯,8.8,https://movie.douban.com/subject/1309055/
侧耳倾听,8.9,https://movie.douban.com/subject/1297052/
驯龙高手,8.8,https://movie.douban.com/subject/2353023/
茶馆,9.6,https://movie.douban.com/subject/1461403/
幸福终点站,8.8,https://movie.douban.com/subject/1292274/
教父3,9.0,https://movie.douban.com/subject/1294240/
怪兽电力公司,8.8,https://movie.douban.com/subject/1291579/
一个叫欧维的男人决定去死,8.9,https://movie.douban.com/subject/26628357/
新世界,8.9,https://movie.douban.com/subject/10437779/
玩具总动员3,8.9,https://movie.douban.com/subject/1858711/
傲慢与偏见,8.7,https://movie.douban.com/subject/1418200/
小森林 冬春篇,9.0,https://movie.douban.com/subject/25814707/
被解救的姜戈,8.8,https://movie.douban.com/subject/6307447/
萤火之森,8.8,https://movie.douban.com/subject/5989818/
釜山行,8.6,https://movie.douban.com/subject/25986180/
神偷奶爸,8.7,https://movie.douban.com/subject/3287562/
色，戒,8.7,https://movie.douban.com/subject/1828115/
头脑特工队,8.8,https://movie.douban.com/subject/10533913/
九品芝麻官,8.7,https://movie.douban.com/subject/1297518/
哪吒闹海,9.2,https://movie.douban.com/subject/1307315/
告白,8.8,https://movie.douban.com/subject/4268598/
玛丽和马克思,9.0,https://movie.douban.com/subject/3072124/
喜宴,9.0,https://movie.douban.com/subject/1303037/
大鱼,8.8,https://movie.douban.com/subject/1291545/
模仿游戏,8.8,https://movie.douban.com/subject/10463953/
头号玩家,8.6,https://movie.douban.com/subject/4920389/
花样年华,8.8,https://movie.douban.com/subject/1291557/
射雕英雄传之东成西就,8.7,https://movie.douban.com/subject/1316510/
七武士,9.3,https://movie.douban.com/subject/1295399/
我是山姆,9.0,https://movie.douban.com/subject/1306861/
血战钢锯岭,8.7,https://movie.douban.com/subject/26325320/
惊魂记,9.0,https://movie.douban.com/subject/1293181/
阳光姐妹淘,8.8,https://movie.douban.com/subject/4917726/
恐怖直播,8.7,https://movie.douban.com/subject/21360417/
你的名字。,8.5,https://movie.douban.com/subject/26683290/
黑客帝国3：矩阵革命,8.8,https://movie.douban.com/subject/1302467/
三块广告牌,8.7,https://movie.douban.com/subject/26611804/
电锯惊魂,8.7,https://movie.douban.com/subject/1417598/
心迷宫,8.8,https://movie.douban.com/subject/25917973/
达拉斯买家俱乐部,8.8,https://movie.douban.com/subject/1793929/
疯狂原始人,8.7,https://movie.douban.com/subject/1907966/
